date,open,high,low,close,volume
2017-02-01,219.7402,220.0628,218.4743,219.1289,79117651
2017-02-02,218.7246,219.591,218.3588,219.2733,69657560
2017-02-03,220.2842,220.9869,219.9376,220.7848,80563168
2017-02-06,220.3323,220.7713,220.0146,220.3901,57790108
2017-02-07,220.8233,221.0886,220.1879,220.3997,57931151
2017-02-08,220.082,220.8329,219.7932,220.6885,51566218
2017-02-09,220.9966,222.3347,220.9581,221.9978,65955245
2017-02-10,222.3829,223.1241,222.0186,222.8738,66015892
2017-02-13,223.4226,224.3756,223.3937,224.0868,55182050
2017-02-14,223.8847,224.9918,223.4996,224.9821,71108983
2017-02-15,224.7415,226.3684,224.6837,226.1566,86785826
2017-02-16,226.1951,226.3829,225.1265,225.9641,84722437
2017-02-17,225.2228,226.3203,225.2036,226.3203,77204104
2017-02-21,226.7342,227.8606,226.7246,227.6681,88946051
2017-02-22,227.2156,227.7162,227.0327,227.4659,62115185
2017-02-23,228.0435,228.0628,226.7727,227.6199,74615902
2017-02-24,226.6765,227.9599,226.6283,227.9087,82381612
2017-02-27,227.8125,228.4575,227.5333,228.2649,56515440
2017-02-28,227.8413,228.1109,227.2108,227.6488,96961938
2017-03-01,229.4972,231.3552,229.4779,230.8353,149158170
2017-03-02,230.6235,230.6332,229.3239,229.3817,70245978
2017-03-03,229.2854,229.709,228.8618,229.5261,81974300
2017-03-06,228.6404,229.2372,228.1687,228.8425,55391533
2017-03-07,228.5056,228.9003,227.928,228.159,65103737
2017-03-08,228.4863,228.7752,227.5814,227.7354,78168795
2017-03-09,227.8702,228.3901,226.946,228.0243,90683918
2017-03-10,229.0928,229.141,227.7643,228.8233,81991652
2017-03-13,228.7559,228.9869,228.3901,228.9388,57256824
2017-03-14,228.3323,228.3901,227.3792,228.0628,59880778
2017-03-15,228.6981,230.508,228.4382,230.0363,96081750
2017-03-16,230.1903,230.277,229.218,229.5838,78343951
2017-03-17,229.8769,230.0896,229.1807,229.1807,89002111
2017-03-20,229.1807,229.4998,228.4942,228.9293,52536979
2017-03-21,229.6062,229.7415,225.845,225.99,131809275
2017-03-22,226.0287,226.8409,225.3325,226.5218,97569204
2017-03-23,226.2511,227.5467,225.8643,226.2801,100410277
2017-03-24,226.6185,227.2566,225.2455,226.1157,112504853
2017-03-27,224.2496,226.1737,223.9402,225.8836,87454452
2017-03-28,225.5452,228.0011,225.4195,227.5273,93483915
2017-03-29,227.2083,228.0011,226.9521,227.7401,61950354
2017-03-30,227.6724,228.6876,227.479,228.4652,56737890
2017-03-31,228.0881,228.6779,227.8754,227.9334,73733094
2017-04-03,227.9915,228.2138,226.164,227.537,85546486
2017-04-04,227.2179,227.7787,226.7877,227.682,56466195
